CSE 598 Introduction to Deep Learning in Visual Computing

Module / Lecture / Video                                                    | Type     | Duration  
    Video 1: Batch, and Stochastic Gradient Descent - Gradient Descent      | Video    | 00:09:55  
    Video 2: Batch, and Stochastic Gradient Descent - Effect of Batch Size  | Video    | 00:06:20  
  Lecture 2: Weight Initialization                                          | Lecture  | 00:17:04  
    Video 1: Weight Initialization                                          | Video    | 00:10:04  
    Video 2: Parameter Initialization                                       | Video    | 00:07:00  
  Lecture 3: Data Normalization                                             | Lecture  | 00:23:26  
    Video 1: Intuition Behind Normalization                                 | Video    | 00:04:14  
    Video 2: Normalization                                                  | Video    | 00:14:56  
    Video 3: Intuition Behind Normalization                                 | Video    | 00:04:14  
  Lecture 4: Regularization                                                 | Lecture  | 00:22:55  
    Video 1: Regularization                                                 | Video    | 00:08:41  
    Video 2: Dropout Regularization                                         | Video    | 00:09:39  
    Video 3: Dropout Implementation                                         | Video    | 00:04:34  
  Lecture 5: Momentum                                                       | Lecture  | 00:00:00  
  Lecture 6: Batch Norm                                                     | Lecture  | 00:16:04  
    Video 1: Batch Norm                                                     | Video    | 00:07:55  
    Video 2: Role of Batch Norm                                             | Video    | 00:08:08  
  Lecture 7: Learning Rate                                                  | Lecture  | 00:25:05  
    Video 1: Learning Rate                                                  | Video    | 00:11:00  
    Video 2: Newton's Method Finding Zeros                                  | Video    | 00:14:04  
  Lecture 8: Hyperparameter Tuning                                          | Lecture  | 00:10:14  
    Video 1: Coarse to Fine Search and Range                                | Video    | 00:05:28  
    Video 2: Hyperparameter Tuning                                          | Video    | 00:04:45  
-------------------------------------------------------------------------------------------------
Module 5: Convolutional Neural Networks                                     | Module   | 02:08:15  
  Lecture 1: Image Filters and Features                                     | Lecture  | 00:19:23  
    Video 1: Edge Detection - Prewitt Filter                                | Video    | 00:12:17  
    Video 2: Image Filters                                                  | Video    | 00:07:05  
  Lecture 2: Convolutional Layer - Stride, Pad                              | Lecture  | 00:21:32  
    Video 1: Stride, Pad - Convolution Layer                                | Video    | 00:09:06  
    Video 2: Stride, Pad - Convolution Filter                               | Video    | 00:07:59  
    Video 3: Stride, Pad - Multiple Convolutioh Features                    | Video    | 00:04:27  
  Lecture 3: Padding                                                        | Lecture  | 00:19:54  
    Video 1: Padding                                                        | Video    | 00:09:37  
    Video 2: Generic CNN Layer                                              | Video    | 00:10:16  
  Lecture 4: Classic CNN Examples                                           | Lecture  | 00:24:07  
    Video 1: Classic CNNs                                                   | Video    | 00:09:38  
    Video 2: AlexNet                                                        | Video    | 00:06:15  
    Video 3: VGG-16-1                                                       | Video    | 00:08:13  
  Lecture 5: Modern CNN Examples                                            | Lecture  | 00:32:36  
    Video 1: Residual Layer Network (ResNet)                                | Video    | 00:09:31  
    Video 2: Modern CNNs                                                    | Video    | 00:13:34  
    Video 3: Residual Layer Network (ResNet)                                | Video    | 00:09:31  
  Lecture 6: CNN Implementation and Analysis                                | Lecture  | 00:10:41  
    Video 1: Deep Networks Comparison                                       | Video    | 00:10:41  
-------------------------------------------------------------------------------------------------
Module 6: Unsupervised Learning - Generative Models                         | Module   | 02:53:02  
  Lecture 1: Autoencoders                                                   | Lecture  | 00:39:25  
    Video 1: PCA vs Autoencoder                                             | Video    | 00:12:17  
    Video 2: Autoencoders                                                   | Video    | 00:06:27  
    Video 3: PCA vs Autoencoder                                             | Video    | 00:12:17  
    Video 4: Deep Autoencoders                                              | Video    | 00:08:23  
  Lecture 2: Sparse, Denoising, and Stacked Autoencoders                    | Lecture  | 00:23:27  
    Video 1: Sparse Autoencoder                                             | Video    | 00:12:07  
    Video 2: Denoising Autoencoder                                          | Video    | 00:03:16  
    Video 3: Stacked Autoencoders                                           | Video    | 00:08:03  
  Lecture 3: Autoregressive Models                                          | Lecture  | 00:21:01  
    Video 1: Autoregressive Models                                          | Video    | 00:10:30  
    Video 2: Autoregressive Models - PixelRNN                               | Video    | 00:10:30  
  Lecture 4: Variational Autoencoders                                       | Lecture  | 00:50:50  
    Video 1: Revisit Autoencoders                                           | Video    | 00:08:28  
    Video 2: Revisit Autoencoders                                           | Video    | 00:08:28  
    Video 3: VAE Examples - SCAN                                            | Video    | 00:08:27  
    Video 4: Variational Autoencoders (VAE) Part 2                          | Video    | 00:07:10  
    Video 5: Variational Autoencoders (VAE) Part 3                          | Video    | 00:05:46  
    Video 6: Variational Autoencoders (VAE)                                 | Video    | 00:12:27  
  Lecture 5: Generative Adversarial Networks (GANs)                         | Lecture  | 00:38:17  
    Video 1: Generative Adversarial Networks (GANs)                         | Video    | 00:08:49  
    Video 2: GAN Training                                                   | Video    | 00:11:49  
    Video 3: GAN Examples - InfoGAN                                         | Video    | 00:08:47  
    Video 4: GAN Examples - Pro(gressive) GAN                               | Video    | 00:08:51  
-------------------------------------------------------------------------------------------------
Module 7: Transfer Learning                                                 | Module   | 01:53:38  
  Lecture 1: Transfer Learning Paradigms                                    | Lecture  | 00:21:34  
    Video 1: Transfer Learning Paradigms                                    | Video    | 00:10:13  
    Video 2: Domain Adaptation Paradigm                                     | Video    | 00:11:21  
  Lecture 2: Shallow Domain Adaptation                                      | Lecture  | 00:17:17  
    Video 1: Linear Feature Spaces DA                                       | Video    | 00:06:28  
    Video 2: Nonlinear Feature Spaces DA                                    | Video    | 00:10:48  
  Lecture 3: Deep Features Domain Adaptation                                | Lecture  | 00:20:27  
    Video 1: Deep Feature Spaces                                            | Video    | 00:10:35  
    Video 2: Naive Deep Transfer Models                                     | Video    | 00:09:52  
  Lecture 4: Feature Alignment                                              | Lecture  | 00:29:07  
    Video 1: MMD Based Alignment                                            | Video    | 00:11:03  
    Video 2: Wasserstein Measure                                            | Video    | 00:07:41  
    Video 3: Wasserstein Distance Based Alignment                           | Video    | 00:10:22  
  Lecture 5: Image Alignment                                                | Lecture  | 00:25:11  
    Video 1: Pixel - Domain Adaptation                                      | Video    | 00:07:02  
    Video 2: Domain Transfer Network                                        | Video    | 00:09:09  
    Video 3: CyCADA - Cycle Consistent Adversarial DA                       | Video    | 00:08:59  
-------------------------------------------------------------------------------------------------
