CSE 579 Knowledge Representation and Reasoning

Module / Lecture / Video                                                    | Type     | Duration  
    Video 1: Representing Functions in ASP Understanding Functions          | Video    | 00:07:38  
    Video 2: Representing Functions in ASP One-to-One (1-1) Function        | Video    | 00:04:34  
    Video 3: Representing Functions in ASP Onto Function                    | Video    | 00:08:31  
    Video 4: Representing Functions in ASP Onto Functions in ASP and 1-1 Correspondence | Video    | 00:04:48  
  Lecture 4: Combinatorial Search                                           | Lecture  | 00:23:01  
    Video 1: Combinatorial Search Seating Arrangement Problem               | Video    | 00:11:07  
    Video 2: Combinatorial Search Logic Puzzle                              | Video    | 00:11:54  
  Lecture 5: Graph Problems in ASP                                          | Lecture  | 00:41:10  
    Video 1: Graph Problems in ASP I Graph Coloring Problem                 | Video    | 00:13:58  
    Video 2: Graph Problems in ASP I Clique                                 | Video    | 00:08:14  
    Video 3: Graph Problems in ASP II Vertex Cover Problem                  | Video    | 00:09:38  
    Video 4: Graph Problems in ASP II Hamiltonian Cycle                     | Video    | 00:09:19  
  Lecture 6: Elaborations of Sudoku Puzzle                                  | Lecture  | 00:42:47  
    Video 1: Elaborations of Sudoku Puzzle Solving by Hand                  | Video    | 00:10:39  
    Video 2: Elaborations of Sudoku Puzzle Solving with ASP_Trancript       | Video    | 00:19:09  
    Video 3: Elaborations of Sudoku Puzzle Elaboration Tolerance and Variations of Sudoku | Video    | 00:12:58  
  Lecture 7: Aggregates and Optimization                                    | Lecture  | 00:40:14  
    Video 1: Aggregates General Introduction and Counting                   | Video    | 00:10:02  
    Video 2: Aggregates Cardinality Constraints and Aggregates with Exercises | Video    | 00:05:53  
    Video 3: Aggregates Summation with Excersises                           | Video    | 00:07:44  
    Video 4: Optimization Recalls with Optimization                         | Video    | 00:09:25  
    Video 5: Optimization Assigning Referees                                | Video    | 00:07:09  
-------------------------------------------------------------------------------------------------
Module 5: Reasoning about Actions                                           | Module   | 02:12:17  
  Lecture 1: Reasoning about Actions                                        | Lecture  | 00:20:23  
    Video 1: Introduction to Reasoning about Actions General Introduction   | Video    | 00:06:33  
    Video 2: Introduction to Reasoning about Actions Action Description Languages | Video    | 00:13:50  
  Lecture 2: Simple Transition System in ASP                                | Lecture  | 00:34:28  
    Video 1: Simple Transition System in ASP - Part 1                       | Video    | 00:24:32  
    Video 2: Simple Transition System in ASP - Part 2                       | Video    | 00:09:55  
  Lecture 3: More Complex Transition Systems in ASP                         | Lecture  | 01:04:23  
    Video 1: Monkey and Bananas in ASP - Part 1                             | Video    | 00:24:27  
    Video 2: Monkey and Bananas in ASP - Part 2                             | Video    | 00:17:37  
    Video 3: Blocks World in ASP                                            | Video    | 00:22:18  
  Lecture 4: Expressive Possibilities                                       | Lecture  | 00:13:02  
    Video 1: Expressive Possibilities Nondeterministic Actions              | Video    | 00:05:37  
    Video 2: Expressive Possibilities Interaction between Concurrent Actions | Video    | 00:03:42  
    Video 3: Expressive Possibilities Non-Inertial Fluents                  | Video    | 00:03:41  
-------------------------------------------------------------------------------------------------
Module 6: KRR with Uncertainty                                              | Module   | 03:55:53  
  Lecture 1: Introduction to Review of Probability                          | Lecture  | 00:44:12  
    Video 1: Review of Probability Conditioning                             | Video    | 00:16:35  
    Video 2: Review of Probability Bayes Rule and Product Rule              | Video    | 00:07:54  
    Video 3: Review of Probability Marginal Independence and Conditional Independence | Video    | 00:19:41  
  Lecture 2: Introduction to Bayesian Networks                              | Lecture  | 00:20:35  
    Video 1: Bayesian Networks General Introduction                         | Video    | 00:07:57  
    Video 2: Bayesian Networks Independence Assumption                      | Video    | 00:07:26  
    Video 3: Bayesian Networks Types of Inference                           | Video    | 00:05:11  
  Lecture 3: Introduction to Markov Logic                                   | Lecture  | 00:28:53  
    Video 1: Markov Logic                                                   | Video    | 00:28:53  
  Lecture 4: Introduction to LPMLN                                          | Lecture  | 02:22:12  
    Video 1: Language LPMLN General Introduction, Syntax, and Semantics     | Video    | 00:15:11  
    Video 2: Language LPMLN Syntax and Semantics Examples                   | Video    | 00:15:13  
    Video 3: Language LPMLN Reward- and Penalty-Based Weight                | Video    | 00:02:59  
    Video 4: LPMLN Relationships to Other Languages ASP                     | Video    | 00:07:56  
    Video 5: LPMLN Relationships to Other Languages From MLN to LPMLN       | Video    | 00:21:49  
    Video 6: LPMLN Relationships to Other Languages Turning LPMLN to MLN    | Video    | 00:03:13  
    Video 7: Inference in LPMLN - Part 1                                    | Video    | 00:10:50  
    Video 8: Inference in LPMLN - Part 2                                    | Video    | 00:09:50  
    Video 9: Inference in LPMLN - Part 3                                    | Video    | 00:07:11  
    Video 10: LPMLN Inference Examples LPMLN Language with Test Run         | Video    | 00:13:30  
    Video 11: LPMLN Inference Examples Representing Bayesian Networks with Test Run | Video    | 00:23:42  
    Video 12: LPMLN Inference Examples Representing Probabilistic Graph Problems | Video    | 00:10:42  
-------------------------------------------------------------------------------------------------
Module 7: Ontology Languages                                                | Module   | 02:50:33  
  Lecture 1: Ontology                                                       | Lecture  | 00:17:33  
    Video 1: Introduction to Ontology                                       | Video    | 00:17:33  
  Lecture 2: Resource Description Framework                                 | Lecture  | 00:39:36  
    Video 1: Resource Description Framework General Introduction and Schema | Video    | 00:18:19  
    Video 2: Resource Description Framework Class Hierarchies               | Video    | 00:11:25  
    Video 3: Resource Description Framework Axiomatic Semantics             | Video    | 00:09:51  
  Lecture 3: Description Logics                                             | Lecture  | 01:33:24  
    Video 1: Introduction to Description Logics                             | Video    | 00:26:39  
    Video 2: ALC Semantics General Introduction                             | Video    | 00:13:41  
    Video 3: ALC Semantics Example 1 Walkthrough                            | Video    | 00:06:16  
    Video 4: ALC Semantics Example 2 Walkthrough                            | Video    | 00:02:31  
    Video 5: ALC Semantics Validity                                         | Video    | 00:02:02  
    Video 6: Description Logic to First-Order Logic - Part 1                | Video    | 00:08:25  
    Video 7: Description Logic to First-Order Logic - Part 2                | Video    | 00:10:57  
    Video 8: Beyond ALC General Introduction and Number Restrictions        | Video    | 00:09:10  
    Video 9: Beyond ALC Nominals                                            | Video    | 00:04:16  
    Video 10: Beyond ALC Example Walkthrough, OWS, and CWA                  | Video    | 00:09:22  
  Lecture 4: Ontology Languages                                             | Lecture  | 00:19:58  
    Video 1: Web Ontology Language (OWL) General Introduction               | Video    | 00:06:12  
    Video 2: Web Ontology Language (OWL) Semantics and Description Logics   | Video    | 00:09:29  
    Video 3: Web Ontology Language (OWL) DL and OWL Compared and Implemented DL Systems | Video    | 00:04:16  
-------------------------------------------------------------------------------------------------
Module 8: Applications of KRR- Optional                                     | Module   | 00:34:26  
  Lecture 1: More on ASP                                                    | Lecture  | 00:14:30  
    Video 1: More on ASP Learning in LPMLN                                  | Video    | 00:06:23  
    Video 2: More on ASP Modulo Theories                                    | Video    | 00:05:22  
    Video 3: More on ASP DLVHEX                                             | Video    | 00:02:45  
  Lecture 2: Some KRR Applications                                          | Lecture  | 00:19:55  
    Video 1: Some KRR Applications Reasoning about Access Control Policy    | Video    | 00:07:36  
    Video 2: Some KRR Applications QA System for Hypothetical Systems       | Video    | 00:08:13  
    Video 3: Some KRR Applications Inferring Phylogenetic Trees             | Video    | 00:04:06  
-------------------------------------------------------------------------------------------------
