Module / Lecture / Video                                                                                                                | Type     | Duration
    Video 13: Introduction to Heaps                                                                                                     | Video    | 00:17:35
    Video 14: Heap Overflows                                                                                                            | Video    | 00:19:23
    Video 15: Use-After-Free                                                                                                            | Video    | 00:18:07
    Video 16: Metadata Corruption                                                                                                       | Video    | 00:04:34
    Video 17: Metasploit                                                                                                                | Video    | 00:04:28
-------------------------------------------------------------------------------------------------------------------------------------------------------------
Module 6: Web Security Part 1                                                                                                           | Module   | 03:14:09
  Lecture 1: Design of the Web                                                                                                          | Lecture  | 01:31:39
    Video 1: History of the Web                                                                                                         | Video    | 00:11:38
    Video 2: DEF CON Interview: In your experience, how has the web evolved? How has the evolution of the web impacted the web's security? | Video    | 00:09:42
    Video 3: URI                                                                                                                        | Video    | 00:15:37
    Video 4: HTTP                                                                                                                       | Video    | 00:26:44
    Video 5: HTML                                                                                                                       | Video    | 00:27:56
  Lecture 2: Web Applications                                                                                                           | Lecture  | 01:42:30
    Video 1: Dynamic Websites                                                                                                           | Video    | 00:19:50
    Video 2: Web Applications                                                                                                           | Video    | 00:17:21
    Video 3: DEF CON Interview: What do you see as the major difference between binary applications and web applications?               | Video    | 00:05:47
    Video 4: Databases                                                                                                                  | Video    | 00:15:01
    Video 5: Introduction to JavaScript                                                                                                 | Video    | 00:24:24
    Video 6: Asynchronous JavaScript Transcipt                                                                                          | Video    | 00:20:04
-------------------------------------------------------------------------------------------------------------------------------------------------------------
Module 7: Web Security Part 2                                                                                                           | Module   | 02:41:40
  Lecture 1: Web Vulnerabilities                                                                                                        | Lecture  | 02:41:40
    Video 1: Modern Web Applications                                                                                                    | Video    | 00:10:36
    Video 2: Tampering with Client-Side Information                                                                                     | Video    | 00:19:57
    Video 3: Authentication and Authorization Attacks                                                                                   | Video    | 00:15:59
    Video 4: Command Injection                                                                                                          | Video    | 00:14:57
    Video 5: SQL Injection                                                                                                              | Video    | 00:21:02
    Video 6: Advanced SQL Injection                                                                                                     | Video    | 00:15:32
    Video 7: XSS                                                                                                                        | Video    | 00:13:11
    Video 8: XSS Consequences                                                                                                           | Video    | 00:03:53
    Video 9: XSS Prevention                                                                                                             | Video    | 00:07:28
    Video 10: Cross Site Request Forgery                                                                                                | Video    | 00:12:32
    Video 11: Clickjacking                                                                                                              | Video    | 00:07:28
    Video 12: Logic Flaws                                                                                                               | Video    | 00:19:01
-------------------------------------------------------------------------------------------------------------------------------------------------------------
